Дата,Курс,Отклонение от медианы,Отклонение от среднего
2023-05-23,79.9379,48.5453,36.67257419829843
2023-05-20,79.9093,48.5167,36.64397419829843
2023-05-19,80.0366,48.644000000000005,36.771274198298435
2023-05-18,80.7642,49.3716,37.49887419829843
2023-05-17,79.9798,48.587199999999996,36.714474198298426
2023-05-16,79.1004,47.70779999999999,35.83507419829842
2023-05-13,77.2041,45.811499999999995,33.938774198298425
2023-05-12,75.8846,44.492000000000004,32.619274198298434
2023-05-11,76.6929,45.30029999999999,33.42757419829842
2023-05-06,76.8207,45.4281,33.55537419829843
2023-05-05,78.6139,47.2213,35.34857419829843
2023-05-04,79.3071,47.914500000000004,36.041774198298434
2023-05-03,79.9609,48.568299999999994,36.695574198298424
2023-04-29,80.5093,49.116699999999994,37.243974198298424
2023-04-28,81.5601,50.167500000000004,38.294774198298434
2023-04-27,81.6274,50.23479999999999,38.36207419829842
2023-04-26,81.5499,50.15729999999999,38.28457419829842
2023-04-25,81.2745,49.8819,38.00917419829843
2023-04-22,81.4863,50.0937,38.22097419829843
2023-04-21,81.6188,50.22619999999999,38.35347419829842
2023-04-20,81.6549,50.262299999999996,38.389574198298426
2023-04-19,81.6028,50.2102,38.33747419829843
2023-04-18,81.6279,50.235299999999995,38.362574198298425
2023-04-15,81.5045,50.11189999999999,38.23917419829842
2023-04-14,81.6758,50.283199999999994,38.410474198298424
2023-04-13,82.0934,50.7008,38.82807419829843
2023-04-12,82.1799,50.7873,38.91457419829843
2023-04-11,81.7441,50.3515,38.47877419829843
2023-04-08,82.3988,51.00619999999999,39.13347419829842
2023-04-07,80.6713,49.2787,37.40597419829843
2023-04-06,79.4961,48.1035,36.23077419829843
2023-04-05,79.3563,47.9637,36.09097419829843
2023-04-04,77.951,46.55839999999999,34.68567419829842
2023-04-01,77.3233,45.9307,34.05797419829843
2023-03-31,77.0863,45.69369999999999,33.82097419829842
2023-03-30,76.9781,45.585499999999996,33.712774198298426
2023-03-29,76.5939,45.2013,33.32857419829843
2023-03-28,76.5662,45.17359999999999,33.30087419829842
2023-03-25,76.4479,45.0553,33.18257419829843
2023-03-24,76.3072,44.91459999999999,33.04187419829842
2023-03-23,76.9561,45.563500000000005,33.690774198298435
2023-03-22,76.8373,45.4447,33.57197419829843
2023-03-21,77.2422,45.849599999999995,33.976874198298425
2023-03-18,76.6044,45.2118,33.33907419829843
2023-03-17,76.4095,45.01689999999999,33.14417419829842
2023-03-16,75.7457,44.3531,32.48037419829843
2023-03-15,75.1927,43.8001,31.92737419829843
2023-03-14,75.4609,44.068299999999994,32.195574198298424
2023-03-11,75.9406,44.548,32.67527419829843
2023-03-10,75.9028,44.5102,32.63747419829843
2023-03-08,75.4577,44.0651,32.19237419829843
2023-03-07,75.4728,44.080200000000005,32.207474198298435
2023-03-04,75.4592,44.066599999999994,32.193874198298424
2023-03-03,75.4729,44.080299999999994,32.207574198298424
2023-03-02,75.2513,43.8587,31.98597419829843
2023-03-01,74.8932,43.50059999999999,31.62787419829842
2023-02-28,75.4323,44.039699999999996,32.166974198298426
2023-02-23,74.7087,43.31609999999999,31.44337419829842
